NAME1,SCHEDULES_ALL,SCHEDULES_COMMENT,SCHEDULES_DAYOFF,SCHEDULES_SUMMER,SCHEDULES_WINTER,TITLE, 
Άβδηρα,Δευτέρα-Κυριακή: 08:30-15:00,,,,,Αρχαιολογικός Χώρος, 
Αγ. Δονάτος ,,Υπαίθριος χώρος. Ανοικτός συνεχώς,,,,Αρχαιολογικός Χώρος, 
Αγία Ειρήνη Κέας,,Σάββατο εως Πέμπτη ο χώρος θα ειναι κλειστός.,,(1 Οκτωβρίου έως 31 Οκτωβρίου 2013) 8:00-15.00. Ανοιχτά κάθε Παρασκευή,,Αρχαιολογικός Χώρος, 
Αγία Ευθυμία,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Αγία Τριάδα,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αγία Τριάδα Μεγάρων (σημερινό Νέο Μελί),,,,,,Αρχαιολογικός Χώρος, 
Άγιοι Σαράντα Άλιντα,,,,,,Αρχαιολογικός Χώρος, 
Άγιον Όρος,,"Καθημερινά, από την ανατολή έως την δύση του ηλίου.
",,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Άγιος Ονούφριος,,,,,,Αρχαιολογικός Χώρος, 
Άγιος Παντελεήμονας Αμυνταίου - Μεταμόρφωση Σωτήρος,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αγορά,,,,,,Αρχαιολογικός Χώρος, 
Αγορά - Λιμένας Κω,,Ο αρχαιολογικός χώρος είναι διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Αγορά αρχαίας Ήλιδος,"08:00 - 15:00

Δευτέρα κλειστά",,,,,Αρχαιολογικός Χώρος, 
Αγορά αρχαίας Θάσου,,,,,,Αρχαιολογικός Χώρος, 
Αγορά αρχαίας πόλης της Κέρκυρας,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Άζωρος,,Ο αρχαιολογικός χώρος είναι επισκέψιμος έπειτα από συνεννόηση με την Εφορεία.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Αιγές,,,,Από 1η Απριλίου 2014 έως την 31η Οκτωβρίου 2014: 8.00 - 20.00 καθημερινά,"Δευτέρα κλειστά
Τρίτη-Κυριακή: 8:00 – 15:00",Αρχαιολογικός Χώρος, 
Αίνεια,,,,,,Αρχαιολογικός Χώρος, 
Ακαδημία Πλάτωνος,,"Το Τετράγωνο Περιστύλιο και το Γυμνάσιο ανοικτοί, διαρκώς επισκέψιμοι  χώροι. H Iερά Οικία προσβάσιμη με ειδική άδεια",,,,Αρχαιολογικός Χώρος, 
Άκανθος,"Δευτέρα - Παρασκευή, 8:00 π.μ. - 14:30 μ.μ. (μόνο ο στεγασμένος χώρος του αρχαίου νεκροταφείου)",,,,,Αρχαιολογικός Χώρος, 
Ακοβίτικα,8:30-14:30,,,,,Αρχαιολογικός Χώρος, 
Ακραίφνιον - Πτώον,,Υπαίθριοι χώροι - ανοικτοί συνεχώς,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη  Καστρίτσας,,,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Αθηνών,"Καθημερινά 08.00-20.00
Τελευταία είσοδος 19.45",,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Αλιέων,,Χώρος διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Αρχαίων Σιφών,,Υπαίθριοι χώροι. Aνοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ακρόπολη Ερεσού,,"Χώρος υπάιθριος, διαρκώς επισκέψιμος.",,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Καβάλας,,Ο χώρος παραμένει διαρκώς ανοιχτός.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ακρόπολη Καζάρμας,,Χώρος διαρκώς επισκέψιμος.,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Μεγάλου Γαρδικίου,,,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Πανοπέως,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ακρόπολη Πλατιάνας,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ακρόπολη πόλης Σταγείρων,,,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Ποσειδίου Καρπάθου,,,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Πρόερνας,,,,,Από 1η Νοεμβρίου έως 31 Μαρτίου 2010: 08:30-15:00,Αρχαιολογικός Χώρος, 
Ακρόπολη Ρόδου,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Σπάρτης,,Υπαίθριοι χώροι. Ανοικτοί συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Ακρόπολη Φαρσάλου,,Υπαίθριος χώρος. Ανοικτός συνεχώς.,,,,Αρχαιολογικός Χώρος, 
Ακρωτήρι Θήρας,,Δευτέρα: κλειστό,,"Από 1-4-14 έως 31-10-14. Διευρυμένο ωράριο καθημερινά από 08:00 έως 20:00, επτά ημέρες την εβδομάδα.",,Αρχαιολογικός Χώρος, 
